timestamp,trip_id,route_id,trip_start_time,trip_start_date,vehicle_id,vehicle_label,vehicle_license_plate,latitude,longitude,bearing,speed,stop_id,stop_status,occupancy_status,congestion_level,progress,block_assigned,dist_along_route,dist_from_stop
2019-09-16 11:59:55+00,25139756-SCPD9-SC_D9-Weekday-10-SDon,BM1,,9/16/19,MTABC_3336,,,40.608624,-73.913628,318.71,0,350017,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-16 12:01:26+00,25139756-SCPD9-SC_D9-Weekday-10-SDon,BM1,,9/16/19,MTABC_3336,,,40.606659,-73.910019,32.03,0,350090,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-16 12:03:32+00,25139756-SCPD9-SC_D9-Weekday-10-SDon,BM1,,9/16/19,MTABC_3336,,,40.61525,-73.9086,138.81,0,350097,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-16 12:05:34+00,25139756-SCPD9-SC_D9-Weekday-10-SDon,BM1,,9/16/19,MTABC_3336,,,40.620193,-73.907005,34.22,0,350241,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-16 12:07:08+00,25139756-SCPD9-SC_D9-Weekday-10-SDon,BM1,,9/16/19,MTABC_3336,,,40.619995,-73.910545,183.96,0,303270,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-16 12:09:40+00,25139756-SCPD9-SC_D9-Weekday-10-SDon,BM1,,9/16/19,MTABC_3336,,,40.619606,-73.916862,184.22,0,306153,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-16 12:11:11+00,25139756-SCPD9-SC_D9-Weekday-10-SDon,BM1,,9/16/19,MTABC_3336,,,40.623627,-73.917648,95.23,0,306155,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-16 12:13:44+00,25139756-SCPD9-SC_D9-Weekday-10-SDon,BM1,,9/16/19,MTABC_3336,,,40.625824,-73.91787,96.15,0,350039,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-16 12:15:16+00,25139756-SCPD9-SC_D9-Weekday-10-SDon,BM1,,9/16/19,MTABC_3336,,,40.626335,-73.920013,183.3,0,350039,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-16 12:17:17+00,25139756-SCPD9-SC_D9-Weekday-10-SDon,BM1,,9/16/19,MTABC_3336,,,40.625858,-73.927567,183.97,0,350045,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-16 12:19:19+00,25139756-SCPD9-SC_D9-Weekday-10-SDon,BM1,,9/16/19,MTABC_3336,,,40.625568,-73.932831,183.39,0,350035,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-16 12:21:22+00,25139756-SCPD9-SC_D9-Weekday-10-SDon,BM1,,9/16/19,MTABC_3336,,,40.625698,-73.938095,183.6,0,350033,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-16 12:23:23+00,25139756-SCPD9-SC_D9-Weekday-10-SDon,BM1,,9/16/19,MTABC_3336,,,40.624794,-73.943024,186.29,0,350041,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-16 12:24:55+00,25139756-SCPD9-SC_D9-Weekday-10-SDon,BM1,,9/16/19,MTABC_3336,,,40.624416,-73.94635,186.88,0,350031,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-16 12:27:28+00,25139756-SCPD9-SC_D9-Weekday-10-SDon,BM1,,9/16/19,MTABC_3336,,,40.62376,-73.952423,186.29,0,303926,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-16 12:29:30+00,25139756-SCPD9-SC_D9-Weekday-10-SDon,BM1,,9/16/19,MTABC_3336,,,40.62352,-73.954491,186.15,0,303926,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-16 12:31:34+00,25139756-SCPD9-SC_D9-Weekday-10-SDon,BM1,,9/16/19,MTABC_3336,,,40.624977,-73.956146,100.06,0,303927,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-16 12:33:06+00,25139756-SCPD9-SC_D9-Weekday-10-SDon,BM1,,9/16/19,MTABC_3336,,,40.628628,-73.956863,99.49,0,303930,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-16 12:35:08+00,25139756-SCPD9-SC_D9-Weekday-10-SDon,BM1,,9/16/19,MTABC_3336,,,40.631645,-73.957443,100.81,0,303930,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-16 12:37:41+00,25139756-SCPD9-SC_D9-Weekday-10-SDon,BM1,,9/16/19,MTABC_3336,,,40.638779,-73.958847,100.97,0,350224,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-16 12:39:43+00,25139756-SCPD9-SC_D9-Weekday-10-SDon,BM1,,9/16/19,MTABC_3336,,,40.642925,-73.960693,204.05,0,350076,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-16 12:41:46+00,25139756-SCPD9-SC_D9-Weekday-10-SDon,BM1,,9/16/19,MTABC_3336,,,40.63998,-73.967232,204.11,0,350076,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-16 12:43:18+00,25139756-SCPD9-SC_D9-Weekday-10-SDon,BM1,,9/16/19,MTABC_3336,,,40.6399,-73.968903,106.02,0,450419,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-16 12:45:20+00,25139756-SCPD9-SC_D9-Weekday-10-SDon,BM1,,9/16/19,MTABC_3336,,,40.641506,-73.96936,105.51,0,450419,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-16 12:47:23+00,25139756-SCPD9-SC_D9-Weekday-10-SDon,BM1,,9/16/19,MTABC_3336,,,40.647049,-73.97097,106.57,0,450419,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-16 12:49:24+00,25139756-SCPD9-SC_D9-Weekday-10-SDon,BM1,,9/16/19,MTABC_3336,,,40.648544,-73.971405,107.06,0,450419,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-16 12:51:27+00,25139756-SCPD9-SC_D9-Weekday-10-SDon,BM1,,9/16/19,MTABC_3336,,,40.650433,-73.971931,96.2,0,450419,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-16 12:53:29+00,25139756-SCPD9-SC_D9-Weekday-10-SDon,BM1,,9/16/19,MTABC_3336,,,40.651443,-73.972092,165.6,0,450419,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-16 12:55:00+00,25139756-SCPD9-SC_D9-Weekday-10-SDon,BM1,,9/16/19,MTABC_3336,,,40.653385,-73.977409,121.06,0,450419,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-16 12:57:33+00,25139756-SCPD9-SC_D9-Weekday-10-SDon,BM1,,9/16/19,MTABC_3336,,,40.658321,-73.984428,148.73,0,450419,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-16 12:59:35+00,25139756-SCPD9-SC_D9-Weekday-10-SDon,BM1,,9/16/19,MTABC_3336,,,40.661148,-73.987686,125.71,0,450419,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-16 13:01:08+00,25139756-SCPD9-SC_D9-Weekday-10-SDon,BM1,,9/16/19,MTABC_3336,,,40.664333,-73.991051,149.32,0,450419,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-16 13:03:10+00,25139756-SCPD9-SC_D9-Weekday-10-SDon,BM1,,9/16/19,MTABC_3336,,,40.668209,-73.996094,118.15,0,450419,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-16 13:05:44+00,25139756-SCPD9-SC_D9-Weekday-10-SDon,BM1,,9/16/19,MTABC_3336,,,40.673794,-73.999725,118.46,0,450419,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-16 13:07:16+00,25139756-SCPD9-SC_D9-Weekday-10-SDon,BM1,,9/16/19,MTABC_3336,,,40.678436,-74.002701,126.32,0,450419,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-16 13:09:20+00,25139756-SCPD9-SC_D9-Weekday-10-SDon,BM1,,9/16/19,MTABC_3336,,,40.689796,-74.010414,117.29,0,450419,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-16 13:11:23+00,25139756-SCPD9-SC_D9-Weekday-10-SDon,BM1,,9/16/19,MTABC_3336,,,40.705112,-74.015091,79.55,0,450419,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-16 13:12:54+00,25139756-SCPD9-SC_D9-Weekday-10-SDon,BM1,,9/16/19,MTABC_3336,,,40.7061,-74.016296,249.99,0,450419,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-16 13:15:26+00,25139756-SCPD9-SC_D9-Weekday-10-SDon,BM1,,9/16/19,MTABC_3336,,,40.704697,-74.01545,356.62,0,400070,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-16 13:16:58+00,25139756-SCPD9-SC_D9-Weekday-10-SDon,BM1,,9/16/19,MTABC_3336,,,40.705914,-74.014473,69.5,0,400070,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-16 13:19:30+00,25139756-SCPD9-SC_D9-Weekday-10-SDon,BM1,,9/16/19,MTABC_3336,,,40.706814,-74.013611,54.36,0,400070,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-16 13:21:34+00,25139756-SCPD9-SC_D9-Weekday-10-SDon,BM1,,9/16/19,MTABC_3336,,,40.708519,-74.012489,55.71,0,400071,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-16 13:23:36+00,25139756-SCPD9-SC_D9-Weekday-10-SDon,BM1,,9/16/19,MTABC_3336,,,40.710018,-74.011429,56.08,0,400071,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-16 13:25:08+00,25139756-SCPD9-SC_D9-Weekday-10-SDon,BM1,,9/16/19,MTABC_3336,,,40.711868,-74.010254,61.79,0,450420,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-16 13:27:09+00,25139756-SCPD9-SC_D9-Weekday-10-SDon,BM1,,9/16/19,MTABC_3336,,,40.712486,-74.009865,56.01,0,450420,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
