timestamp,trip_id,route_id,trip_start_time,trip_start_date,vehicle_id,vehicle_label,vehicle_license_plate,latitude,longitude,bearing,speed,stop_id,stop_status,occupancy_status,congestion_level,progress,block_assigned,dist_along_route,dist_from_stop
2019-09-01 16:35:28+00,WF_D9-Sunday-075000_BX31_101,BX8,,9/1/19,MTA NYCT_703,,,40.814411,-73.802795,23.87,0,104274,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-01 16:37:31+00,WF_D9-Sunday-075000_BX31_101,BX8,,9/1/19,MTA NYCT_703,,,40.817127,-73.805367,157.62,0,103712,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-01 16:39:02+00,WF_D9-Sunday-075000_BX31_101,BX8,,9/1/19,MTA NYCT_703,,,40.819736,-73.809784,163.3,0,103690,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-01 16:41:04+00,WF_D9-Sunday-075000_BX31_101,BX8,,9/1/19,MTA NYCT_703,,,40.82201,-73.811943,21.8,0,103161,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-01 16:43:37+00,WF_D9-Sunday-075000_BX31_101,BX8,,9/1/19,MTA NYCT_703,,,40.82386,-73.814987,118.44,0,103162,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-01 16:45:39+00,WF_D9-Sunday-075000_BX31_101,BX8,,9/1/19,MTA NYCT_703,,,40.829659,-73.815117,130.31,0,103165,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-01 16:47:41+00,WF_D9-Sunday-075000_BX31_101,BX8,,9/1/19,MTA NYCT_703,,,40.834915,-73.817802,112.64,0,103168,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-01 16:49:43+00,WF_D9-Sunday-075000_BX31_101,BX8,,9/1/19,MTA NYCT_703,,,40.833908,-73.82589,128.2,0,103172,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-01 16:51:46+00,WF_D9-Sunday-075000_BX31_101,BX8,,9/1/19,MTA NYCT_703,,,40.836723,-73.827881,123.57,0,103174,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-01 16:53:48+00,WF_D9-Sunday-075000_BX31_101,BX8,,9/1/19,MTA NYCT_703,,,40.845158,-73.831032,123.16,0,103688,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-01 16:55:19+00,WF_D9-Sunday-075000_BX31_101,BX8,,9/1/19,MTA NYCT_703,,,40.846561,-73.832855,217.57,0,100984,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-01 16:57:20+00,WF_D9-Sunday-075000_BX31_101,BX8,,9/1/19,MTA NYCT_703,,,40.843418,-73.836922,213.53,0,103681,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-01 16:59:22+00,WF_D9-Sunday-075000_BX31_101,BX8,,9/1/19,MTA NYCT_703,,,40.842495,-73.838539,207.58,0,103681,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-01 17:01:30+00,WF_D9-Sunday-075000_BX31_101,BX8,,9/1/19,MTA NYCT_703,,,40.840672,-73.842148,146.48,0,103689,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-01 17:03:32+00,WF_D9-Sunday-075000_BX31_101,BX8,,9/1/19,MTA NYCT_703,,,40.841438,-73.843254,141.91,0,103689,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-01 17:05:34+00,WF_D9-Sunday-075000_BX31_101,BX8,,9/1/19,MTA NYCT_703,,,40.841438,-73.843254,141.91,0,103689,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-01 17:07:05+00,WF_D9-Sunday-075000_BX31_101,BX8,,9/1/19,MTA NYCT_703,,,40.844231,-73.846001,134.42,0,100492,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
2019-09-01 17:09:26+00,WF_D9-Sunday-075000_BX31_101,BX8,,9/1/19,MTA NYCT_703,,,40.847343,-73.849274,123,0,100493,IN_TRANSIT_TO,EMPTY,UNKNOWN_CONGESTION_LEVEL,,,,
